
  HYDROGEN
      1.0080           1
    D1|A1|X1    F1|A2|X2    G1|B1|Z1    D2|B2|Z2    F2|C1|QZ    G2|C2|ZE
&    IK = 5:
    308.0000      0.6500     -0.6000    354.0000      0.1400     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    392.0000    392.0000      2.0000      0.0000      1.0000      1.0000
&    IK = 6:
    367.0000      0.4200     -0.4200    435.0000      0.1500     -0.3500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    490.0000    490.0000      1.0000      0.0000      1.0000      0.0000

  NITROGEN
     14.0080           7
    D1|A1|X1    F1|A2|X2    G1|B1|Z1    D2|B2|Z2    F2|C1|QZ    G2|C2|ZE
     11.0000      0.1300      0.7500     11.0000      0.7000     -0.2500
      3.2000      4.0000      0.8300      0.7000      0.2200      0.5000
     14.5000     20.3000      3.0000      2.0000      2.0000      4.0000
&    IK = 2:
     15.0000      0.6200      0.7500     22.0000      0.5000     -0.2500
      3.9000      4.4000      0.4600      0.4000      0.6200      0.6000
     29.6000     36.7000      2.0000      2.0000      2.0000      3.0000
&    IK = 3:
     16.5000      0.7400      0.8000     30.0000      0.8000     -0.2500
      4.5000      4.5000      0.2000      0.2000      0.6000      0.6000
     47.4000     55.8000      1.0000      2.0000      2.0000      2.0000
&    IK = 4:
     16.0000      0.6400      0.8000     50.0000      0.5500     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
     77.5000    471.0000      2.0000      2.0000      2.0000      1.0000
&    IK = 5:
     10.0000      0.2400      1.1000     60.0000      0.2500     -0.1000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
     97.9000    493.0000      1.0000      2.0000      2.0000      0.0000
&    IK = 6:
    431.0000      0.7000     -0.6000    498.0000      0.1500     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    552.0000    552.0000      2.0000      0.0000      1.0000      1.0000
&    IK = 7:
    501.0000      0.4200     -0.4200    593.0000      0.1500     -0.3500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    667.0000    667.0000      1.0000      0.0000      1.0000      0.0000

  OXYGEN
     16.0000           8
    D1|A1|X1    F1|A2|X2    G1|B1|Z1    D2|B2|Z2    F2|C1|QZ    G2|C2|ZE
      9.5000      0.0300      1.0000     13.0000      0.1100     -0.2500
      2.8000      4.0000      0.7400      0.7000      0.2400      0.5000
     13.6000     28.5000      4.0000      2.0000      2.0000      5.0000
&    IK = 2:
     15.0000      0.4300      0.7500     26.0000      0.4300     -0.2500
      3.7000      4.4000      0.6000      0.4000      0.5000      0.6000
     35.1000     42.6000      3.0000      2.0000      2.0000      4.0000
&    IK = 3:
     16.0000      0.4000      0.7500     40.0000      0.6500     -0.2500
      4.5000      4.5000      0.3000      0.2000      0.6000      0.6000
     54.9000     63.8000      2.0000      2.0000      2.0000      3.0000
&    IK = 4:
     21.0000      0.6300      0.8000     51.0000      0.5500     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
     77.4000     87.6000      1.0000      2.0000      2.0000      2.0000
&    IK = 5:
     20.0000      0.5300      0.8000     72.0000      0.5900     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    114.0000    644.0000      2.0000      2.0000      2.0000      1.0000
&    IK = 6:
     12.0000      0.2000      1.1000     83.0000      0.2600     -0.1000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    138.0000    670.0000      1.0000      2.0000      2.0000      0.0000
&    IK = 7:
    574.0000      0.7000     -0.8000    666.0000      0.1500     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    739.0000    739.0000      2.0000      0.0000      1.0000      1.0000
&    IK = 8:
    653.0000      0.4200     -0.4200    774.0000      0.1500     -0.3500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    871.0000    871.0000      1.0000      0.0000      1.0000      0.0000

  NEON
     20.1830          10
    D1|A1|X1    F1|A2|X2    G1|B1|Z1    D2|B2|Z2    F2|C1|QZ    G2|C2|ZE
     16.8400      0.1740     -0.2500      0.0000      0.0000      0.0000
      2.6000      4.0000      0.9200      0.7000      0.1900      0.5000
     21.6000     48.5000      6.0000      2.0000      2.0000      7.0000
&    IK = 2:
     26.9000      0.3300      0.8000      0.0000      0.0000      0.0000
      3.2000      4.4000      0.8200      0.4000      0.4800      0.6000
     41.1000     66.4000      5.0000      2.0000      2.0000      6.0000
&    IK = 3:
     25.4000      0.2600      0.8000     50.0000      0.7100     -0.2500
      4.0000      4.5000      0.4000      0.2000      0.6000      0.6000
     63.5000     86.2000      4.0000      2.0000      2.0000      5.0000
&    IK = 4:
     22.8000      0.3400      0.8000     62.0000      0.6000     -0.2500
      4.5000      4.5000      0.2000      0.0000      0.6000      0.0000
     97.1000    108.0000      3.0000      2.0000      2.0000      4.0000
&    IK = 5:
     26.0000      0.4000      0.8000     87.0000      0.8200     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    126.0000    139.0000      2.0000      2.0000      2.0000      3.0000
&    IK = 6:
     27.5000      0.4300      0.8000    101.0000      0.5600     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    158.0000    172.0000      1.0000      2.0000      2.0000      2.0000
&    IK = 7:
     26.7000      0.5700      0.8000    127.0000      0.5000     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    207.0000   1073.0000      2.0000      2.0000      2.0000      1.0000
&    IK = 8:
     16.0000      0.1520      0.8000    141.0000      1.0000     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    239.0000   1107.0000      1.0000      2.0000      2.0000      0.0000
&    IK = 9:
    921.0000      0.7230     -1.0000   1072.0000      0.1490     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
   1196.0000   1196.0000      2.0000      0.0000      1.0000      1.0000
&    IK = 10:
   1022.0000      0.4200     -0.5000   1211.0000      0.0800     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
   1362.0000   1362.0000      1.0000      0.0000      1.0000      0.0000

  SILICON
     28.0900          14
    D1|A1|X1    F1|A2|X2    G1|B1|Z1    D2|B2|Z2    F2|C1|QZ    G2|C2|ZE
      5.3000      0.2300      1.0000      5.1000      0.0200     -0.2500
      4.0000      4.0000      0.3000      0.4000      0.6000      0.6000
      8.1500     13.5000      2.0000      2.0000      3.0000      3.0000
&    IK = 2:
      9.9000      2.4000      0.7500     15.0000      0.2200     -0.2500
      4.4000      4.4000      0.2000      0.2000      0.6000      0.6000
     16.3000     22.9000      1.0000      2.0000      3.0000      2.0000
&    IK = 3:
     10.3000      1.7000      0.7500     21.9000      0.0500     -0.2500
      4.5000      4.5000      0.0000      0.4000      0.0000      0.6000
     33.5000    133.0000      2.0000      6.0000      3.0000      1.0000
&    IK = 4:
      8.9000      0.8100      0.7500     27.0000      0.0400     -0.2500
      4.5000      4.5000      0.0000      0.2000      0.0000      0.6000
     45.1000    148.0000      1.0000      6.0000      3.0000      0.0000
&    IK = 5:
    105.0000      0.2100     -0.2500    128.0000      1.0400     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    167.0000    217.0000      6.0000      2.0000      2.0000      7.0000
&    IK = 6:
     50.0000      0.1100      0.7500    150.0000      1.0000     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    205.0000    250.0000      5.0000      2.0000      2.0000      6.0000
&    IK = 7:
     45.0000      0.1900      0.7500    170.0000      1.0000     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    246.0000    285.0000      4.0000      2.0000      2.0000      5.0000
&    IK = 8:
     39.0000      0.2200      0.7500    191.0000      0.4000     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    303.0000    321.0000      3.0000      2.0000      2.0000      4.0000
&    IK = 9:
     44.0000      0.2800      0.7500    200.0000      0.6500     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    351.0000    371.0000      2.0000      2.0000      2.0000      3.0000
&    IK = 10:
     48.0000      0.2900      0.7500    245.0000      0.6300     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    401.0000    423.0000      1.0000      2.0000      2.0000      2.0000
&    IK = 11:
     41.0000      0.2700      0.7500    284.0000      0.6500     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    476.0000   2259.0000      2.0000      2.0000      2.0000      1.0000
&    IK = 12:
     24.5000      0.1100      1.1000    303.0000      0.2600     -0.1000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    523.0000   2309.0000      1.0000      2.0000      2.0000      0.0000
&    IK = 13:
   1863.0000      0.7000     -0.8000   1991.0000      0.1500     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
   2438.0000   2438.0000      2.0000      0.0000      1.0000      1.0000
&    IK = 14:
   2004.0000      0.4200     -0.4200   2375.0000      0.1500     -0.3500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
   2673.0000   2673.0000      1.0000      0.0000      1.0000      0.0000

  CHLORINE
     35.4570          17
    D1|A1|X1    F1|A2|X2    G1|B1|Z1    D2|B2|Z2    F2|C1|QZ    G2|C2|ZE
     11.0000      1.0000      1.0000     12.0000      0.5000     -0.2500
      4.0000      4.0000      0.6000      0.4000      0.5000      0.6000
     13.0000     24.5000      5.0000      2.0000      3.0000      6.0000
&    IK = 2:
     15.0000      0.3000      0.7500     20.0000      1.0000     -0.2000
      4.4000      4.4000      0.3000      0.2000      0.6000      0.6000
     23.8000     36.0000      4.0000      2.0000      3.0000      5.0000
&    IK = 3:
     12.0000      1.2000      0.7500     22.0000      1.0000      0.7500
      4.5000      4.5000      0.2000      0.0000      0.6000      0.0000
     39.9000     48.9000      3.0000      2.0000      3.0000      4.0000
&    IK = 4:
     19.0000      1.5000      0.7500     27.0000      0.4000     -0.2000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
     53.5000     64.1000      2.0000      2.0000      3.0000      3.0000
&    IK = 5:
     20.0000      1.5000      0.7500     38.0000      0.4000     -0.2000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
     67.6000     79.8000      1.0000      2.0000      3.0000      2.0000
&    IK = 6:
     18.5000      1.3000      0.7500      0.0000      0.0000     -0.2000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
     97.0000    303.0000      2.0000      6.0000      3.0000      1.0000
&    IK = 7:
     15.4000      0.6300      0.7500     63.0000      0.1200     -0.2000
      9.0000      4.5000      0.0000      0.2000      0.0000      0.6000
    114.0000    322.0000      1.0000      6.0000      3.0000      0.0000
&    IK = 8:
    210.0000      0.1500     -0.2500    248.0000      2.2000     -0.2000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    348.0000    417.0000      6.0000      2.0000      2.0000      7.0000
&    IK = 9:
     68.0000      0.0900      0.7500    260.0000      1.0000     -0.2000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    400.0000    461.0000      5.0000      2.0000      2.0000      6.0000
&    IK = 10:
     60.0000      0.1100      0.7500    280.0000      1.2000     -0.2000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    456.0000    507.0000      4.0000      2.0000      2.0000      5.0000
&    IK = 11:
     52.0000      0.2000      0.7500    325.0000      1.2000     -0.2000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    529.0000    553.0000      3.0000      2.0000      2.0000      4.0000
&    IK = 12:
     50.0000      0.2500      0.7500    350.0000      1.0000     -0.2000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    592.0000    617.0000      2.0000      2.0000      2.0000      3.0000
&    IK = 13:
     46.0000      0.2600      0.7500    393.0000      0.7000     -0.2000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    656.0000    683.0000      1.0000      2.0000      2.0000      2.0000
&    IK = 14:
     52.0000      0.2200      0.7500    441.0000      0.7000     -0.2000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    750.0000   3437.0000      2.0000      2.0000      2.0000      1.0000
&    IK = 15:
     32.3000      0.0900      1.1000    465.0000      0.5000     -0.1000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    809.0000   3499.0000      1.0000      2.0000      2.0000      0.0000
&    IK = 16:
   2789.0000      0.7500     -0.2000   3271.0000      0.2300     -0.2000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
   3658.0000   3658.0000      2.0000      0.0000      1.0000      1.0000
&    IK = 17:
   2960.0000      0.4200     -0.2000   3508.0000      0.1500     -0.3500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
   3946.0000   3946.0000      1.0000      0.0000      1.0000      0.0000

  ARGON
     39.9440          18
    D1|A1|X1    F1|A2|X2    G1|B1|Z1    D2|B2|Z2    F2|C1|QZ    G2|C2|ZE
      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
      4.0000      4.0000      0.6200      0.4000      0.4000      0.6000
     15.8000     29.2000      6.0000      2.0000      3.0000      7.0000
&    IK = 2:
     23.0000      4.0000      0.7500     13.5000      0.2500     -0.2000
      4.2000      4.4000      0.3000      0.2000      0.6000      0.6000
     27.6000     41.7000      5.0000      2.0000      3.0000      6.0000
&    IK = 3:
     27.0000      3.0000      0.7500     14.0000      0.4400     -0.2000
      4.5000      4.5000      0.2000      0.0000      0.6000      0.0000
     40.9000     55.5000      4.0000      2.0000      3.0000      5.0000
&    IK = 4:
     27.5000      2.8000      0.7500     15.0000      0.7000     -0.2000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
     59.7000     70.4000      3.0000      2.0000      3.0000      4.0000
&    IK = 5:
     27.5000      1.2000      0.7500     20.0000      0.8500     -0.2000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
     75.2000     87.6000      2.0000      2.0000      3.0000      3.0000
&    IK = 6:
     28.0000      0.5000      0.7500     18.0000      1.0000     -0.2000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
     91.2000    105.0000      1.0000      2.0000      3.0000      2.0000
&    IK = 7:
     21.2000      1.2000      0.7500     70.0000      0.2000     -0.2000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    125.0000    373.0000      2.0000      6.0000      3.0000      1.0000
&    IK = 8:
     17.8000      0.6000      0.7500     77.0000      0.1200     -0.2000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    143.0000    394.0000      1.0000      6.0000      3.0000      0.0000
&    IK = 9:
      1.0000      0.0000      0.0000    260.0000      2.0000     -0.2000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    423.0000    498.0000      6.0000      2.0000      2.0000      7.0000
&    IK = 10:
     75.0000      0.0850      0.7500    330.0000      3.4000     -0.2000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    479.0000    545.0000      5.0000      2.0000      2.0000      6.0000
&    IK = 11:
     65.0000      0.1500      0.7500    360.0000      1.2000     -0.2000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    539.0000    594.0000      4.0000      2.0000      2.0000      5.0000
&    IK = 12:
     55.0000      0.1750      0.7500    400.0000      1.6000     -0.2000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    618.0000    644.0000      3.0000      2.0000      2.0000      4.0000
&    IK = 13:
     60.0000      0.2200      0.7500    430.0000      1.1000     -0.2000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    686.0000    713.0000      2.0000      2.0000      2.0000      3.0000
&    IK = 14:
     60.0000      0.2200      0.7500    480.0000      0.6300     -0.2000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    755.0000    784.0000      1.0000      2.0000      2.0000      2.0000
&    IK = 15:
     56.2000      0.2000      0.7500    500.0000      0.6500     -0.2000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    855.0000   3885.0000      2.0000      2.0000      2.0000      1.0000
&    IK = 16:
     35.2000      0.0850      0.7500    520.0000      0.3500     -0.2000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    918.0000   3951.0000      1.0000      2.0000      2.0000      0.0000
&    IK = 17:
   3680.0000      0.1000     -0.2000   3140.0000      0.7700     -0.2000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
   4121.0000   4121.0000      2.0000      0.0000      1.0000      1.0000
&    IK = 18:
   3935.0000      0.1000     -0.2000   3318.0000      0.4200     -0.2000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
   4426.0000   4426.0000      1.0000      0.0000      1.0000      0.0000

  TITANIUM
     47.9000          22
    D1|A1|X1    F1|A2|X2    G1|B1|Z1    D2|B2|Z2    F2|C1|QZ    G2|C2|ZE
      3.5000      1.2000      0.8000      0.0000      0.0000      0.0000
      4.0000      3.5000      0.4000      0.7000      0.6000      0.4000
      6.8200      8.0000      2.0000      2.0000      4.0000      1.0000
&    IK = 2:
      3.5000      1.0000      0.8000      0.0000      0.0000      0.0000
      4.4000      3.9000      0.0000      0.5000      0.0000      0.6000
     16.3000     15.0000      1.0000      2.0000      3.0000     10.0000
&    IK = 3:
      9.6000      0.2400      0.8000      0.0000      0.0000      0.0000
      4.5000      4.5000      0.3000      0.2000      0.6000      0.6000
     27.5000     68.0000      2.0000      6.0000      3.0000      9.0000
&    IK = 4:
     40.0000      3.4000      0.6500     16.0000      0.0500     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
     43.2000     83.0000      1.0000      6.0000      3.0000      8.0000
&    IK = 5:
     49.0000      5.3000      0.6500      0.0000      0.0000      0.0000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
     99.9000    124.0000      6.0000      2.0000      3.0000      7.0000
&    IK = 6:
     13.0000      0.2000      0.8000     50.0000      3.0000      0.6500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    120.0000    144.0000      5.0000      2.0000      3.0000      6.0000
&    IK = 7:
     25.0000      0.3000      0.7700     48.0000      2.2000      0.8000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    141.0000    165.0000      4.0000      2.0000      3.0000      5.0000
&    IK = 8:
     25.0000      0.5000      0.8000     46.1000      1.9000      0.8000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    170.0000    188.0000      3.0000      2.0000      3.0000      4.0000
&    IK = 9:
     25.0000      0.6000      0.8000     45.0000      1.0000      0.8000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    193.0000    213.0000      2.0000      2.0000      3.0000      3.0000
&    IK = 10:
     26.3000      0.1000      0.8000     42.8000      0.7900      0.8000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    217.0000    238.0000      1.0000      2.0000      3.0000      2.0000
&    IK = 11:
     32.1000      0.9600      0.8000    140.0000      1.2000     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    266.0000    723.0000      2.0000      6.0000      3.0000      1.0000
&    IK = 12:
     26.5000      0.4800      0.8000    151.0000      0.9000     -0.2500
      7.0000      4.5000      0.0000      0.0000      0.0000      0.0000
    292.0000    753.0000      1.0000      6.0000      3.0000      0.0000
&    IK = 13:
    525.0000      2.9000     -0.2500    642.0000      1.0000     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    789.0000    890.0000      6.0000      2.0000      2.0000      7.0000
&    IK = 14:
     88.0000      0.0500      0.8000    520.0000      8.0000     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    863.0000    951.0000      5.0000      2.0000      2.0000      6.0000
&    IK = 15:
     88.0000      0.1000      0.8000    610.0000      1.6000     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    942.0000   1015.0000      4.0000      2.0000      2.0000      5.0000
&    IK = 16:
     75.0000      0.1100      0.8000    645.0000      1.6000     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
   1044.0000   1077.0000      3.0000      2.0000      2.0000      4.0000
&    IK = 17:
     70.0000      0.1600      0.8000    680.0000      1.2000     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
   1131.0000   1165.0000      2.0000      2.0000      2.0000      3.0000
&    IK = 18:
     81.0000      0.1600      0.8000    800.0000      0.7500     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
   1221.0000   1256.0000      1.0000      2.0000      2.0000      2.0000
&    IK = 19:
     73.2000      0.1800      0.8000    816.0000      2.2500     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
   1346.0000   5959.0000      2.0000      2.0000      2.0000      1.0000
&    IK = 20:
     46.1000      0.0700      0.8000    814.0000      1.1000     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
   1425.0000   6041.0000      1.0000      2.0000      2.0000      0.0000
&    IK = 21:
   4730.0000      0.8000     -1.0000   5560.0000      0.1600     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
   6249.0000   6249.0000      2.0000      0.0000      1.0000      1.0000
&    IK = 22:
   4970.0000      0.4200     -0.5000   5890.0000      0.0800     -0.2500
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
   6626.0000   6626.0000      1.0000      0.0000      1.0000      0.0000

   CHROM
     52.0100          24
    D1|A1|X1    F1|A2|X2    G1|B1|Z1    D2|B2|Z2    F2|C1|QZ    G2|C2|ZE
      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
      4.0000      2.7000      0.0000      0.9000      0.0000      0.2000
      6.7700      8.2500      1.0000      5.0000      4.0000      0.0000
&    IK = 2:
     10.0000      1.8000      0.7500      7.0000      0.2500     -0.2000
      0.0000      3.3000      0.0000      0.8000      0.0000      0.5000
     16.5000     16.5000      0.0000      5.0000      3.0000     12.0000
&    IK = 3:
     15.0000      2.0000      0.7500     15.0000      0.2500     -0.2000
      4.2000      4.5000      0.5000      0.2000      0.6000      0.6000
     31.0000     86.0000      4.0000      6.0000      3.0000     11.0000
&    IK = 4:
     20.0000      2.3000      0.7500     20.0000      0.3100     -0.2000
      4.5000      4.5000      0.2000      0.0000      0.6000      0.0000
     49.1000    104.0000      3.0000      6.0000      3.0000     10.0000
&    IK = 5:
     20.0000      2.4500      0.7500     30.0000      0.3100     -0.2000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
     69.3000    123.0000      2.0000      6.0000      3.0000      9.0000
&    IK = 6:
     40.0000      2.6000      0.7500     50.0000      0.2600     -0.2000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
     91.0000    142.0000      1.0000      6.0000      3.0000      8.0000
&    IK = 7:
     62.0000      4.0000      0.7500    110.0000      0.1500     -0.2000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    161.0000    191.0000      6.0000      2.0000      3.0000      7.0000
&    IK = 8:
     60.0000      3.0000      0.7500     30.0000      0.1850     -0.2000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    185.0000    214.0000      5.0000      2.0000      3.0000      6.0000
&    IK = 9:
     58.0000      2.3000      0.7500     30.0000      0.3300     -0.2000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    209.0000    238.0000      4.0000      2.0000      3.0000      5.0000
&    IK = 10:
     56.0000      2.1000      0.7500     30.0000      0.5000     -0.2000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    244.0000    266.0000      3.0000      2.0000      3.0000      4.0000
&    IK = 11:
     52.0000      0.9000      0.7500     34.0000      0.6500     -0.2000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    271.0000    294.0000      2.0000      2.0000      3.0000      3.0000
&    IK = 12:
     50.0000      0.3800      0.7500     32.0000      0.7700     -0.2000
      4.5000      4.5000      0.0000      0.0000      0.0000      0.0000
    298.0000    323.0000      1.0000      2.0000      3.0000      2.0000
&    IK = 13:
